Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",-138.305000 ,16.130000,Top,180.000000
"C2",-138.305000 ,26.290000,Top,180.000000
"C3",-115.920000 ,40.900000,Top,90.000000
"C4",-103.715000 ,26.290000,Top,0.000000
"C5",-138.305000 ,32.640000,Top,180.000000
"C6",-132.430000 ,40.900000,Top,90.000000
"C7",-112.605000 ,7.237000,Top,0.000000
"C8",-116.695000 ,7.237000,Top,180.000000
"C9",-121.030000 ,-0.725000,Top,270.000000
"C10",-119.030000 ,-0.725000,Top,270.000000
"C11",-103.140000 ,23.750000,Top,0.000000
"C12",-138.880000 ,35.180000,Top,180.000000
"C13",-138.880000 ,12.320000,Top,180.000000
"C14",-121.000000 ,42.525000,Top,90.000000
"C15",-116.000000 ,-0.150000,Top,270.000000
"C16",-113.380000 ,40.900000,Top,90.000000
"R1",-138.355000 ,22.480000,Top,180.000000
"R2",-138.355000 ,18.670000,Top,180.000000
"R4",-116.825000 ,46.750000,Top,0.000000
"R5",-113.184000 ,46.750000,Top,180.000000
"S1",-115.000000 ,50.000000,Top,180.000000
"U1",-125.500000 ,41.750000,Top,0.000000
