Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",-121.000000 ,5.198000,Top,270.000000
"C2",-118.460000 ,5.198000,Top,270.000000
"C3",-102.445000 ,13.590000,Top,0.000000
"C4",-110.840000 ,42.355000,Top,90.000000
"C5",-115.920000 ,42.355000,Top,90.000000
"C6",-118.460000 ,42.355000,Top,90.000000
"C7",-140.445000 ,33.910000,Top,180.000000
"C8",-140.445000 ,13.590000,Top,180.000000
"C9",7.880000 ,14.225000,Top,270.000000
"C10",9.880000 ,14.225000,Top,270.000000
"C11",-115.920000 ,4.623000,Top,270.000000
"C12",-113.380000 ,42.910000,Top,90.000000
"C13",-141.020000 ,17.400000,Top,180.000000
"C14",-105.225000 ,41.000000,Top,0.000000
"C15",15.730000 ,2.500000,Top,0.000000
"J1",0.000000 ,0.000000,Top,0.000000
"J2",-121.000000 ,23.750000,Top,270.000000
"J4",3.950000 ,49.700000,Top,0.000000
"R1",-121.000000 ,42.355000,Top,90.000000
"R2",-131.160000 ,42.355000,Top,90.000000
"R4",-116.825000 ,46.750000,Top,0.000000
"R5",-113.184000 ,46.750000,Top,180.000000
"S1",-115.000000 ,50.000000,Top,180.000000
"U1",-106.000000 ,44.500000,Top,270.000000
