Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric",-121.000000,5.198000,270.000000,top
"C2","1 uF","C_0603_1608Metric",-118.460000,5.198000,270.000000,top
"C3","100 nF","C_0603_1608Metric",-102.445000,13.590000,0.000000,top
"C4","100 nF","C_0603_1608Metric",-110.840000,42.355000,90.000000,top
"C5","1 uF","C_0603_1608Metric",-115.920000,42.355000,90.000000,top
"C6","100 nF","C_0603_1608Metric",-118.460000,42.355000,90.000000,top
"C7","100 nF","C_0603_1608Metric",-140.445000,33.910000,180.000000,top
"C8","100 nF","C_0603_1608Metric",-140.445000,13.590000,180.000000,top
"C9","100nF","C_0603_1608Metric",7.880000,14.225000,270.000000,top
"C10","10nF","C_0603_1608Metric",9.880000,14.225000,270.000000,top
"C11","10uF","CP_EIA-3216-18_Kemet-A",-115.920000,4.623000,270.000000,top
"C12","10uF","CP_EIA-3216-18_Kemet-A",-113.380000,42.910000,90.000000,top
"C13","10uF","CP_EIA-3216-18_Kemet-A",-141.020000,17.400000,180.000000,top
"C14","100 nF","C_0603_1608Metric",-105.225000,41.000000,0.000000,top
"C15","10uF","CP_EIA-3216-18_Kemet-A",15.730000,2.500000,0.000000,top
"J1","650906-5","6509065",0.000000,0.000000,0.000000,top
"J2","MC68882_PLCC","3M_8468-11B1-RK-TP",-121.000000,23.750000,270.000000,top
"J4","5535098-5","5535098-5",3.950000,49.700000,0.000000,top
"R1","0","R_0603_1608Metric",-121.000000,42.355000,90.000000,top
"R2","0","R_0603_1608Metric",-131.160000,42.355000,90.000000,top
"R4","10k","R_0603_1608Metric",-116.825000,46.750000,0.000000,top
"R5","10k","R_0603_1608Metric",-113.184000,46.750000,180.000000,top
"S1","SSAJ110100","SW_SSAJ110100",-115.000000,50.000000,180.000000,top
"U1","74LVC1G3157","SOT-23-6",-106.000000,44.500000,270.000000,top
